Date,Site,Surveyor,Sample_point,Long,Lat,Accuracy,Compass_direction_to_understorey_canopy_cover_measurement,Para_0_value,Para_255_value,Perp_0_value,Perp_255_value,Comments
27/05/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,S,4814598,2337210,5133838,2017970,
27/05/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,W,5773261,1378547,5860978,1290830,
27/05/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,N,5935095,1216713,5847456,1304352,
27/05/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,E,5879607,1272201,5998761,1153047,
27/05/2023,Silwood,Poorvi,S232,51.412,0.64152,6,S,5167601,1984207,5326247,1825561,
27/05/2023,Silwood,Poorvi,S232,51.412,0.64152,6,W,4367059,2784749,4040238,3111570,
27/05/2023,Silwood,Poorvi,S232,51.412,0.64152,6,N,5425643,1726165,5555559,1596249,
27/05/2023,Silwood,Poorvi,S232,51.412,0.64152,6,E,5556461,1595347,5481468,1670340,
27/05/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,S,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
27/05/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,W,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
27/05/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,N,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
27/05/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,E,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
27/05/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,S,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
27/05/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,W,0,7151808,10688,7141120,Adjusted threshold to 99 for 2 due to cloud issue
27/05/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,N,1423551,5728257,1509978,5641830,
27/05/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,E,470049,6681759,908918,6242890,
27/05/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,S,9553456,2639312,9651318,2541450,
27/05/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,W,2907110,4244698,3348985,3802823,
27/05/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,N,4970048,2181760,5042584,2109224,
27/05/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,E,5241201,1910607,5339541,1812267,
27/05/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,S,4110436,3041372,4387396,2764412,
27/05/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,W,4627495,2524313,4688862,2462946,
27/05/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,N,4722428,2429380,4883117,2268691,
27/05/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,E,3936528,3215280,3944133,3207675,
27/05/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,S,4840596,2311212,4595304,2556504,
27/05/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,W,4608655,2543153,4820480,2331328,
27/05/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,N,2318498,4833310,2729750,4422058,
27/05/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,E,2447680,4704128,2076232,5075576,
27/05/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,S,4613300,2538508,4486852,2664956,
27/05/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,W,3565691,3586117,3798972,3352836,
27/05/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,N,3735348,3416460,3701450,3450358,
27/05/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,E,4456181,2695627,4337293,2814515,
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,S,43303,7120857,61629,7102531,Adjusted starting threshold to 50 to remove cloud issue
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,W,24,7164136,3,7164157,Adjusted starting threshold to 50 to remove cloud issue
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,N,436582,6727578,60762,7103398,Adjusted starting threshold to 50 for N2 to remove cloud issue
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,E,2211700,4952460,2085918,5078242,Adjusted starting threshold to 75 to remove cloud issue
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,S,7924,7156236,58892,7105268,Adjusted starting threshold to 40 for S1 and 50 for S2 to remove cloud issue
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,W,0,7164160,0,7164160,Adjusted starting threshold to 50 for W1 and 30 for W2 to remove cloud issue
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,N,4307738,2856422,3798582,3365578,
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,E,5610382,1553778,5421648,1742512,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,S,5489139,1675021,5727115,1437045,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,W,5830237,1333923,5799689,1364471,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,N,4473820,2690340,4630484,2533676,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,E,5280673,1883487,5120182,2043978,
27/05/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,S,5923741,1228067,5460518,1691290,
27/05/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,W,6005143,1146665,5937622,1214186,
27/05/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,N,4554024,2597784,4207750,2944058,
27/05/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,E,5800678,1351130,5507351,1644457,
27/05/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,S,5385253,1766555,5254070,1897738,
27/05/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,W,5541539,1610269,5552267,1599541,
27/05/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,N,5415629,1736179,5414221,1737587,
27/05/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,E,5388370,1763438,5383471,1768337,
27/05/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,S,6037484,1114324,6069940,1081868,
27/05/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,W,6103715,1048093,6023345,1128463,
27/05/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,N,5847768,1304040,5849646,1302162,
27/05/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,E,5537594,1614214,5741479,1410329,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,S,6056090,1108070,5854357,1309803,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,W,5147286,2016874,5307753,1856407,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,N,4515438,2648722,4535656,2628504,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,E,6720525,443635,6729207,434953,
03/05/2023,Barnes,Emma,B123,51.47071,0.23726,3,S,901170,6262990,1014776,6149384,
03/05/2023,Barnes,Emma,B123,51.47071,0.23726,3,W,720066,6444094,830152,6334008,
03/05/2023,Barnes,Emma,B123,51.47071,0.23726,3,N,3384539,3779621,3593082,3571078,
03/05/2023,Barnes,Emma,B123,51.47071,0.23726,3,E,5987,7158173,31706,7132454,
03/05/2023,Barnes,Emma,B121,51.47117,0.23616,3,S,2746204,4417956,2964134,4200026,
03/05/2023,Barnes,Emma,B121,51.47117,0.23616,3,W,7160654,3506,7152260,11900,Adjusted starting threshold to 100 to remove cloud issue
03/05/2023,Barnes,Emma,B121,51.47117,0.23616,3,N,3749265,3414895,3777676,3386484,
03/05/2023,Barnes,Emma,B121,51.47117,0.23616,3,E,5397541,1766619,5602876,1561284,
03/05/2023,Barnes,Emma,B112,51.47092,0.2351,4,S,4214483,2949677,3870928,3293232,
