Date,Site,Time,Air_temp,Wind_speed,Rainfall_accumulation,Rainfall_last_3hrs,Comment
15/05/2023,Silwood,15:00,15.9,1,3.5,0,
15/05/2023,Silwood,18:00,15,0.8,3.5,0,
15/05/2023,Silwood,21:00,10.9,0,3.5,0,
16/05/2023,Silwood,00:00,10.9,0,3.5,0,
16/05/2023,Silwood,03:00,8.7,0.5,0,0,
16/05/2023,Silwood,06:00,6.5,0,0,0,
16/05/2023,Silwood,09:00,11.8,1.1,0,0,
16/05/2023,Silwood,12:00,14.8,3,0,0,
16/05/2023,Silwood,15:00,16.7,1.1,0,0,
16/05/2023,Silwood,18:00,16.7,1.4,0,0,
16/05/2023,Silwood,21:00,12.6,0,0,0,
02/05/2023,Barnes,00:00,12.8,1.7,0,0,
02/05/2023,Barnes,03:00,10.9,3.3,0,0,
02/05/2023,Barnes,06:00,10.8,3.1,0,0,
02/05/2023,Barnes,09:00,11.4,5,0,0,
02/05/2023,Barnes,12:00,12.7,4.9,0,0,
02/05/2023,Barnes,15:00,14,3.9,0,0,
02/05/2023,Barnes,18:00,14.6,3.9,0,0,
02/05/2023,Barnes,21:00,10.4,3.9,0,0,
03/05/2023,Barnes,00:00,8.7,3,0,0,
03/05/2023,Barnes,03:00,7.7,1.7,0,0,
03/05/2023,Barnes,06:00,7,2.2,0,0,
03/05/2023,Barnes,09:00,10.6,3.3,0,0,
03/05/2023,Barnes,12:00,13.8,8.5,0,0,
03/05/2023,Barnes,15:00,14.9,4.4,0,0,
03/05/2023,Barnes,18:00,13.6,4.9,0,0,
03/05/2023,Barnes,21:00,9.9,3.7,0,0,
04/05/2023,Barnes,00:00,9.1,5.2,0,0,
04/05/2023,Barnes,03:00,8.2,2.2,0,0,
04/05/2023,Barnes,06:00,9.1,1.4,0,0,
04/05/2023,Barnes,09:00,12.4,3.5,0,0,
04/05/2023,Barnes,12:00,17.4,1.9,0,0,
04/05/2023,Barnes,15:00,16.5,2.5,0,0,
04/05/2023,Barnes,18:00,20.2,3.9,0,0,
04/05/2023,Barnes,21:00,15.3,3,0,0,
05/05/2023,Barnes,00:00,13.8,4.7,0,0,
05/05/2023,Barnes,03:00,12.3,1.9,0,0,
05/05/2023,Barnes,06:00,12.1,2.2,0,0,
05/05/2023,Barnes,09:00,14.5,3.9,0,0,
05/05/2023,Barnes,12:00,16.7,3.5,0,0,
