"Sample_point","Site","date","total_bat_passes","total_bat_fb","total_bat_activity","com_pip_passes","sop_pip_passes","nat_pip_passes","noid_pip_passes","nls_passes","myotis_passes","unknown_passes","com_pip_fb","sop_pip_fb","noid_pip_fb","social_calls","mins_rec","total_feeding_rate","com_pip_feeding_rate","sop_pip_feeding_rate","lux","Distance_from_water_body","Distance_from_building","Distance_from_woodland","Distance_from_woodland_edge","Distance_from_road","Distance_from_rail","Distance_from_any_artificial_light","Distance_from_streetlamp","No_streetlamps_within_10m","No_streetlamps_within_25m","No_streetlamps_within_50m","No_streetlamps_within_100m","tree_density","mean_gap","canopy_cover","Invert_count","Sun_rise","Sun_set","Moon_rise","Moon_set","Moon_illumination_meridian_passing","Mean_temp_night","Mean_wind_speed_night","Mean_rainfall_last_3hrs_night","mean_dB","var_amp","amp"
"B123","Barnes","05/05/2023",45,33,13,4,36,0,3,2,0,0,1,32,0,18,102,0.733333333333333,0.25,0.888888888888889,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B123","Barnes","02/05/2023",4,0,4,0,2,1,1,0,0,0,0,0,0,0,102,0,NA,0,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B132","Barnes","06/05/2023",43,1,28,25,15,0,1,2,0,0,1,0,0,4,102,0.0232558139534884,0.04,0,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B132","Barnes","05/05/2023",82,4,23,48,31,0,2,1,0,0,3,1,0,41,102,0.0487804878048781,0.0625,0.032258064516129,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B132","Barnes","02/05/2023",7,0,5,0,6,0,1,0,0,0,0,0,0,0,102,0,NA,0,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-44.5918181818182,3.93701119384482,6.67644774985191
"B133","Barnes","02/05/2023",62,7,27,21,30,0,8,2,0,1,4,3,0,15,102,0.112903225806452,0.19047619047619,0.1,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-43.8754545454545,137.132336059919,7.25042786976915
"B133","Barnes","05/05/2023",136,22,44,88,35,0,12,1,0,0,17,0,5,41,102,0.161764705882353,0.193181818181818,0,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-43.8754545454545,137.132336059919,7.25042786976915
"B133","Barnes","06/05/2023",119,9,44,57,54,0,6,2,0,0,5,4,0,45,102,0.0756302521008403,0.087719298245614,0.0740740740740741,0.02,414,190,0,0,27,292,27,27,0,0,2,8,105.735489456189,0.630074862230883,0.369925137769117,24,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-43.8754545454545,137.132336059919,7.25042786976915
"B211","Barnes","05/05/2023",225,10,57,77,127,0,20,1,0,0,2,8,0,90,102,0.0444444444444444,0.025974025974026,0.062992125984252,0.02,520,94,0,36,27,55,27,27,0,0,5,13,201.339891812526,0.611040826838038,0.388959173161962,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-52.24,1.55386222524139,2.76781057071889
"B211","Barnes","06/05/2023",169,2,50,34,132,0,3,0,0,0,1,1,0,150,102,0.0118343195266272,0.0294117647058824,0.00757575757575758,0.02,520,94,0,36,27,55,27,27,0,0,5,13,201.339891812526,0.611040826838038,0.388959173161962,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-52.24,1.55386222524139,2.76781057071889
