"Sample_point","Site","date","total_bat_passes","total_bat_fb","total_bat_activity","com_pip_passes","sop_pip_passes","nat_pip_passes","noid_pip_passes","nls_passes","myotis_passes","unknown_passes","com_pip_fb","sop_pip_fb","noid_pip_fb","social_calls","mins_rec","total_feeding_rate","com_pip_feeding_rate","sop_pip_feeding_rate","lux","Distance_from_water_body","Distance_from_building","Distance_from_woodland","Distance_from_woodland_edge","Distance_from_road","Distance_from_rail","Distance_from_any_artificial_light","Distance_from_streetlamp","No_streetlamps_within_10m","No_streetlamps_within_25m","No_streetlamps_within_50m","No_streetlamps_within_100m","tree_density","mean_gap","canopy_cover","Invert_count","Sun_rise","Sun_set","Moon_rise","Moon_set","Moon_illumination_meridian_passing","Mean_temp_night","Mean_wind_speed_night","Mean_rainfall_last_3hrs_night","mean_dB","var_amp","amp"
"S122","Silwood","02/05/2023",24,0,9,15,9,0,0,0,0,0,0,0,0,39,102,0,0,0,0.01,50,10,0,10,280,1600,15,239,0,0,0,0,192.23317884594,0.351975022193809,0.648024977806191,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-56.8136363636364,0.0542898174032272,1.63476204314333
"S122","Silwood","06/05/2023",68,4,26,16,33,0,15,1,3,0,1,3,0,329,102,0.0588235294117647,0.0625,0.0909090909090909,0.01,50,10,0,10,280,1600,15,239,0,0,0,0,192.23317884594,0.351975022193809,0.648024977806191,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-56.8136363636364,0.0542898174032272,1.63476204314333
"S123","Silwood","02/05/2023",41,1,5,7,20,0,0,14,0,0,0,1,0,40,102,0.024390243902439,0,0.05,0.025,20,100,0,20,340,1500,100,282,0,0,0,0,280.107140981425,0.449371524365732,0.550628475634268,12,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-53.8109090909091,0.20012065925652,2.30988792772613
"S123","Silwood","06/05/2023",45,3,17,10,28,0,2,0,5,0,0,3,0,38,102,0.0666666666666667,0,0.107142857142857,0.025,20,100,0,20,340,1500,100,282,0,0,0,0,280.107140981425,0.449371524365732,0.550628475634268,12,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-53.8109090909091,0.20012065925652,2.30988792772613
"S123","Silwood","05/05/2023",25,1,15,2,17,0,0,0,5,1,0,1,0,1,102,0.04,0,0.0588235294117647,0.025,20,100,0,20,340,1500,100,282,0,0,0,0,280.107140981425,0.449371524365732,0.550628475634268,12,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-53.8109090909091,0.20012065925652,2.30988792772613
"S131","Silwood","06/05/2023",7,0,6,3,1,0,0,1,2,0,0,0,0,0,102,0,0,0,0.07,155,245,43,43,355,1365,319,319,0,0,0,0,37.753568302104,0.762692346346257,0.237307653653743,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-61.0827272727273,0.00530835937660142,1
"S131","Silwood","05/05/2023",2,0,2,1,0,0,0,0,0,1,0,0,0,0,102,0,0,NA,0.07,155,245,43,43,355,1365,319,319,0,0,0,0,37.753568302104,0.762692346346257,0.237307653653743,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-61.0827272727273,0.00530835937660142,1
"S132","Silwood","02/05/2023",15,0,12,1,5,0,0,0,9,0,0,0,0,0,102,0,0,0,0.03,65,350,0,53,465,1410,403,403,0,0,0,0,240.370170061895,0.460749044549535,0.539250955450465,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-55.2018181818182,0.167522675462214,1.96809226528727
"S132","Silwood","06/05/2023",39,2,26,8,17,0,0,0,14,0,1,1,0,1,102,0.0512820512820513,0.125,0.0588235294117647,0.03,65,350,0,53,465,1410,403,403,0,0,0,0,240.370170061895,0.460749044549535,0.539250955450465,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-55.2018181818182,0.167522675462214,1.96809226528727
"S132","Silwood","05/05/2023",92,10,39,19,40,0,10,0,23,0,3,3,4,42,102,0.108695652173913,0.157894736842105,0.075,0.03,65,350,0,53,465,1410,403,403,0,0,0,0,240.370170061895,0.460749044549535,0.539250955450465,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-55.2018181818182,0.167522675462214,1.96809226528727
"S211","Silwood","06/05/2023",4,0,4,2,0,0,0,0,0,2,0,0,0,0,102,0,0,NA,0.025,238,140,10,10,235,1670,226,226,0,0,0,0,4.71052499095432,0.235998627899407,0.764001372100593,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-52.9127272727273,0.00121605968151727,2.56153326408795
"S211","Silwood","05/05/2023",26,3,16,15,4,0,3,0,2,2,2,1,0,0,102,0.115384615384615,0.133333333333333,0.25,0.025,238,140,10,10,235,1670,226,226,0,0,0,0,4.71052499095432,0.235998627899407,0.764001372100593,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-52.9127272727273,0.00121605968151727,2.56153326408795
"S211","Silwood","02/05/2023",12,0,3,1,11,0,0,0,0,0,0,0,0,5,102,0,0,0,0.025,238,140,10,10,235,1670,226,226,0,0,0,0,4.71052499095432,0.235998627899407,0.764001372100593,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-52.9127272727273,0.00121605968151727,2.56153326408795
"S212","Silwood","02/05/2023",3,0,3,2,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0.01,335,80,0,25,175,1680,180,180,0,0,0,0,120.758362516604,0.2950095101826,0.7049904898174,13,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-56.4190909090909,0.127126225033659,1.71073136601754
"S213","Silwood","06/05/2023",4,0,4,3,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0.07,275,180,20,20,265,1590,268,268,0,0,0,0,36.3992911238054,0.924438967041621,0.0755610329583791,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-53.2427272727273,0.501977141004816,2.46603933723434
"S213","Silwood","05/05/2023",9,0,9,5,2,0,0,1,1,0,0,0,0,0,102,0,0,0,0.07,275,180,20,20,265,1590,268,268,0,0,0,0,36.3992911238054,0.924438967041621,0.0755610329583791,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-53.2427272727273,0.501977141004816,2.46603933723434
"S213","Silwood","02/05/2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,NA,NA,NA,0.07,275,180,20,20,265,1590,268,268,0,0,0,0,36.3992911238054,0.924438967041621,0.0755610329583791,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-53.2427272727273,0.501977141004816,2.46603933723434
"S221","Silwood","05/05/2023",10,0,8,3,2,0,0,5,0,0,0,0,0,12,102,0,0,0,0.065,327,140,25,25,95,1730,108,108,0,0,0,0,2.99844455688612,1,0,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-55.79,0.0211389462042131,1.83923136139796
"S221","Silwood","06/05/2023",16,24,6,7,8,0,0,0,1,0,14,10,0,4,102,1.5,2,1.25,0.065,327,140,25,25,95,1730,108,108,0,0,0,0,2.99844455688612,1,0,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-55.79,0.0211389462042131,1.83923136139796
"S221","Silwood","02/05/2023",1,0,1,1,0,0,0,0,0,0,0,0,0,1,102,0,0,NA,0.065,327,140,25,25,95,1730,108,108,0,0,0,0,2.99844455688612,1,0,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-55.79,0.0211389462042131,1.83923136139796
"S222","Silwood","05/05/2023",56,2,30,30,14,0,1,5,5,1,2,0,0,70,102,0.0357142857142857,0.0666666666666667,0,0.01,250,110,0,55,55,1780,45,45,0,0,1,2,1024,0.230929350312536,0.769070649687464,5,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-49.2554545454545,10.1751775773943,3.90268623261067
"S222","Silwood","02/05/2023",13,0,9,6,5,0,0,0,1,1,0,0,0,0,102,0,0,0,0.01,250,110,0,55,55,1780,45,45,0,0,1,2,1024,0.230929350312536,0.769070649687464,5,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-49.2554545454545,10.1751775773943,3.90268623261067
"S222","Silwood","06/05/2023",21,0,16,9,4,0,0,0,8,0,0,0,0,34,102,0,0,0,0.01,250,110,0,55,55,1780,45,45,0,0,1,2,1024,0.230929350312536,0.769070649687464,5,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-49.2554545454545,10.1751775773943,3.90268623261067
"S223","Silwood","05/05/2023",119,2,38,105,11,0,2,0,0,1,2,0,0,122,102,0.0168067226890756,0.019047619047619,0,0.02,350,145,0,55,110,1660,110,110,0,0,0,0,516.528925619835,0.478607926834725,0.521392073165275,5,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.9472727272727,0.240455445912446,2.02662188075742
"S223","Silwood","06/05/2023",42,0,30,33,8,0,0,0,0,1,0,0,0,85,102,0,0,0,0.02,350,145,0,55,110,1660,110,110,0,0,0,0,516.528925619835,0.478607926834725,0.521392073165275,5,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.9472727272727,0.240455445912446,2.02662188075742
"S223","Silwood","02/05/2023",17,0,10,8,9,0,0,0,0,0,0,0,0,25,102,0,0,0,0.02,350,145,0,55,110,1660,110,110,0,0,0,0,516.528925619835,0.478607926834725,0.521392073165275,5,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.9472727272727,0.240455445912446,2.02662188075742
"S231","Silwood","06/05/2023",7,0,7,3,4,0,0,0,0,0,0,0,0,5,102,0,0,0,0.095,335,160,63,63,250,1535,256,256,0,0,0,0,81.7134284528711,1,0,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-49.7854545454545,9.65780945804361,3.67166996044365
"S231","Silwood","02/05/2023",3,0,3,1,1,0,0,0,1,0,0,0,0,0,102,0,0,0,0.095,335,160,63,63,250,1535,256,256,0,0,0,0,81.7134284528711,1,0,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-49.7854545454545,9.65780945804361,3.67166996044365
"S231","Silwood","05/05/2023",5,0,5,3,1,0,0,1,0,0,0,0,0,0,102,0,0,0,0.095,335,160,63,63,250,1535,256,256,0,0,0,0,81.7134284528711,1,0,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-49.7854545454545,9.65780945804361,3.67166996044365
"S232","Silwood","05/05/2023",138,4,56,100,29,0,5,0,4,0,3,1,0,14,102,0.0289855072463768,0.03,0.0344827586206897,0.01,440,124,0,35,150,1670,126,170,0,0,0,0,194.247835957703,0.284791412185562,0.715208587814438,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-49.7927272727273,1.94266719780854,3.66859694441342
"S232","Silwood","06/05/2023",68,1,36,51,17,0,0,0,0,0,1,0,0,5,102,0.0147058823529412,0.0196078431372549,0,0.01,440,124,0,35,150,1670,126,170,0,0,0,0,194.247835957703,0.284791412185562,0.715208587814438,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-49.7927272727273,1.94266719780854,3.66859694441342
"S232","Silwood","02/05/2023",30,0,20,17,8,0,2,0,3,0,0,0,0,4,102,0,0,0,0.01,440,124,0,35,150,1670,126,170,0,0,0,0,194.247835957703,0.284791412185562,0.715208587814438,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-49.7927272727273,1.94266719780854,3.66859694441342
"S233","Silwood","06/05/2023",52,9,14,3,49,0,0,0,0,0,0,9,0,8,102,0.173076923076923,0,0.183673469387755,0.135,315,75,0,5,220,1460,75,210,0,0,0,0,286.302432711771,0.333835416299921,0.666164583700079,12,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.2945454545454,0.00117313374331959,1.54671070342201
"S233","Silwood","05/05/2023",72,8,35,23,45,0,1,0,3,0,0,8,0,1,102,0.111111111111111,0,0.177777777777778,0.135,315,75,0,5,220,1460,75,210,0,0,0,0,286.302432711771,0.333835416299921,0.666164583700079,12,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-57.2945454545454,0.00117313374331959,1.54671070342201
"S233","Silwood","02/05/2023",33,13,12,10,23,0,0,0,0,0,5,8,0,3,102,0.393939393939394,0.5,0.347826086956522,0.135,315,75,0,5,220,1460,75,210,0,0,0,0,286.302432711771,0.333835416299921,0.666164583700079,12,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-57.2945454545454,0.00117313374331959,1.54671070342201
"S321","Silwood","05/05/2023",44,4,24,28,16,0,0,0,0,0,4,0,0,22,102,0.0909090909090909,0.142857142857143,0,0.005,35,227,0,51,391,1146,322,322,0,0,0,0,176.013244996686,0.502971923323445,0.497028076676555,0,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.4336363636364,0.0372044365076051,2.15007963386742
"S321","Silwood","06/05/2023",26,6,11,11,13,0,0,0,2,0,5,1,0,29,102,0.230769230769231,0.454545454545455,0.0769230769230769,0.005,35,227,0,51,391,1146,322,322,0,0,0,0,176.013244996686,0.502971923323445,0.497028076676555,0,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.4336363636364,0.0372044365076051,2.15007963386742
"S321","Silwood","02/05/2023",8,0,5,1,6,0,1,0,0,0,0,0,0,0,102,0,0,0,0.005,35,227,0,51,391,1146,322,322,0,0,0,0,176.013244996686,0.502971923323445,0.497028076676555,0,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.4336363636364,0.0372044365076051,2.15007963386742
"S322","Silwood","06/05/2023",86,5,34,34,50,0,2,0,0,0,3,2,0,79,102,0.0581395348837209,0.0882352941176471,0.04,0.02,130,242,0,94,360,1185,271,377,0,0,0,0,692.520775623269,0.383016242186591,0.616983757813409,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-59.0745454545455,0.00333679097790601,1.2601118362188
"S322","Silwood","05/05/2023",190,1,53,146,37,0,4,0,3,0,1,0,0,127,102,0.00526315789473684,0.00684931506849315,0,0.02,130,242,0,94,360,1185,271,377,0,0,0,0,692.520775623269,0.383016242186591,0.616983757813409,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-59.0745454545455,0.00333679097790601,1.2601118362188
"S322","Silwood","02/05/2023",36,4,18,11,21,0,0,0,4,0,1,3,0,39,102,0.111111111111111,0.0909090909090909,0.142857142857143,0.02,130,242,0,94,360,1185,271,377,0,0,0,0,692.520775623269,0.383016242186591,0.616983757813409,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-59.0745454545455,0.00333679097790601,1.2601118362188
"S323","Silwood","06/05/2023",3,0,3,3,0,0,0,0,0,0,0,0,0,0,102,0,0,NA,0.03,69,170,0,50,292,1074,305,305,0,0,0,0,730.460189919649,0.428552070329629,0.571447929670371,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-56.8354545454545,0.0533864273306999,1.63066081947844
"S323","Silwood","02/05/2023",5,0,5,1,4,0,0,0,0,0,0,0,0,0,102,0,0,0,0.03,69,170,0,50,292,1074,305,305,0,0,0,0,730.460189919649,0.428552070329629,0.571447929670371,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-56.8354545454545,0.0533864273306999,1.63066081947844
"S323","Silwood","05/05/2023",37,8,21,17,11,0,1,3,5,0,1,7,0,15,102,0.216216216216216,0.0588235294117647,0.636363636363636,0.03,69,170,0,50,292,1074,305,305,0,0,0,0,730.460189919649,0.428552070329629,0.571447929670371,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-56.8354545454545,0.0533864273306999,1.63066081947844
"S331","Silwood","06/05/2023",8,2,6,1,6,0,0,1,0,0,0,2,0,1,102,0.25,0,0.333333333333333,0.06,90,75,5,5,214,958,183,183,0,0,0,0,19.6655866981972,0.664908970486421,0.335091029513579,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-53.1418181818182,0.0574716981509489,2.49485583227181
"S331","Silwood","05/05/2023",13,1,9,2,6,0,0,3,2,0,0,1,0,24,102,0.0769230769230769,0,0.166666666666667,0.06,90,75,5,5,214,958,183,183,0,0,0,0,19.6655866981972,0.664908970486421,0.335091029513579,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-53.1418181818182,0.0574716981509489,2.49485583227181
"S332","Silwood","02/05/2023",2,0,2,0,0,0,0,0,2,0,0,0,0,0,102,0,NA,NA,0,69,120,0,36,195,969,200,241,0,0,0,0,566.893424036281,0.261055395887306,0.738944604112694,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-57.3409090909091,1.62633875190104e-05,1.53847664963572
"S332","Silwood","06/05/2023",17,0,12,1,12,0,0,0,4,0,0,0,0,0,102,0,0,0,0,69,120,0,36,195,969,200,241,0,0,0,0,566.893424036281,0.261055395887306,0.738944604112694,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.3409090909091,1.62633875190104e-05,1.53847664963572
"S332","Silwood","05/05/2023",11,0,11,2,5,0,0,1,3,0,0,0,0,3,102,0,0,0,0,69,120,0,36,195,969,200,241,0,0,0,0,566.893424036281,0.261055395887306,0.738944604112694,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-57.3409090909091,1.62633875190104e-05,1.53847664963572
"S333","Silwood","06/05/2023",14,0,13,5,9,0,0,0,0,0,0,0,0,47,102,0,0,0,0.075,238,82,4,4,119,881,163,163,0,0,0,0,7.87934749153586,0.914506358735707,0.0854936412642934,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-53.2245454545455,0.0633383511631068,2.47120680323997
"S333","Silwood","05/05/2023",32,0,20,8,19,0,1,2,1,1,0,0,0,211,102,0,0,0,0.075,238,82,4,4,119,881,163,163,0,0,0,0,7.87934749153586,0.914506358735707,0.0854936412642934,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-53.2245454545455,0.0633383511631068,2.47120680323997
"S333","Silwood","02/05/2023",16,0,9,5,11,0,0,0,0,0,0,0,0,167,102,0,0,0,0.075,238,82,4,4,119,881,163,163,0,0,0,0,7.87934749153586,0.914506358735707,0.0854936412642934,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-53.2245454545455,0.0633383511631068,2.47120680323997
"S411","Silwood","06/05/2023",6,0,4,6,0,0,0,0,0,0,0,0,0,3,102,0,0,NA,1.075,415,50,0,45,203,1380,50,200,0,0,0,0,299.844455688612,0.242589775900024,0.757410224099976,3,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-55.0072727272727,0.00227831240230702,2.01267071386121
"S411","Silwood","05/05/2023",8,0,6,4,4,0,0,0,0,0,0,0,0,42,102,0,0,0,1.075,415,50,0,45,203,1380,50,200,0,0,0,0,299.844455688612,0.242589775900024,0.757410224099976,3,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-55.0072727272727,0.00227831240230702,2.01267071386121
"S411","Silwood","02/05/2023",23,0,5,22,0,0,1,0,0,0,0,0,0,14,102,0,0,NA,1.075,415,50,0,45,203,1380,50,200,0,0,0,0,299.844455688612,0.242589775900024,0.757410224099976,3,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-55.0072727272727,0.00227831240230702,2.01267071386121
"S412","Silwood","05/05/2023",28,0,20,23,2,0,3,0,0,0,0,0,0,6,102,0,0,0,0.04,491,25,0,75,220,1320,5,220,0,0,0,0,287.273771904625,0.241506011486886,0.758493988513114,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-52.3327272727273,0.0983597881283604,2.73841963426436
"S412","Silwood","06/05/2023",16,1,13,12,3,0,1,0,0,0,1,0,0,32,102,0.0625,0.0833333333333333,0,0.04,491,25,0,75,220,1320,5,220,0,0,0,0,287.273771904625,0.241506011486886,0.758493988513114,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-52.3327272727273,0.0983597881283604,2.73841963426436
"S412","Silwood","02/05/2023",12,1,9,8,4,0,0,0,0,0,0,1,0,0,102,0.0833333333333333,0,0.25,0.04,491,25,0,75,220,1320,5,220,0,0,0,0,287.273771904625,0.241506011486886,0.758493988513114,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-52.3327272727273,0.0983597881283604,2.73841963426436
"S413","Silwood","06/05/2023",10,0,7,4,6,0,0,0,0,0,0,0,0,0,102,0,0,0,0.445,500,25,25,25,125,1430,5,101,0,0,0,0,472.589792060492,0.174842029456048,0.825157970543952,2,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-57.1172727272727,0.0451917847007357,1.57860228561443
"S413","Silwood","02/05/2023",5,0,4,3,1,0,1,0,0,0,0,0,0,0,102,0,0,0,0.445,500,25,25,25,125,1430,5,101,0,0,0,0,472.589792060492,0.174842029456048,0.825157970543952,2,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-57.1172727272727,0.0451917847007357,1.57860228561443
"S413","Silwood","05/05/2023",24,0,18,18,4,0,2,0,0,0,0,0,0,9,102,0,0,0,0.445,500,25,25,25,125,1430,5,101,0,0,0,0,472.589792060492,0.174842029456048,0.825157970543952,2,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-57.1172727272727,0.0451917847007357,1.57860228561443
"SA","Silwood","06/05/2023",19,0,6,12,5,0,0,0,2,0,0,0,0,9,102,0,0,0,0.01,10,390,0,0,470,1450,397,397,0,0,0,0,793.493354493156,0.172384871070364,0.827615128929636,6,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-54.9927272727273,0.020312743320254,2.01604397066436
"SA","Silwood","05/05/2023",19,0,10,12,3,0,0,0,3,1,0,0,0,0,102,0,0,0,0.01,10,390,0,0,470,1450,397,397,0,0,0,0,793.493354493156,0.172384871070364,0.827615128929636,6,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-54.9927272727273,0.020312743320254,2.01604397066436
"SA","Silwood","02/05/2023",50,0,10,38,9,0,0,2,1,0,0,0,0,14,102,0,0,0,0.01,10,390,0,0,470,1450,397,397,0,0,0,0,793.493354493156,0.172384871070364,0.827615128929636,6,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-54.9927272727273,0.020312743320254,2.01604397066436
"SG","Silwood","05/05/2023",86,0,41,47,34,0,2,3,0,0,0,0,0,160,102,0,0,0,0,345,70,0,15,15,1650,78,78,0,0,0,2,904.51693142631,0.209228037162071,0.790771962837928,1,"05:29","20:33","20:39","05:17","0.993",11.8,0.1,0,-45.8090909090909,6.70808970073101,5.80339081693496
"SG","Silwood","06/05/2023",20,0,16,10,9,0,0,1,0,0,0,0,0,149,102,0,0,0,0,345,70,0,15,15,1650,78,78,0,0,0,2,904.51693142631,0.209228037162071,0.790771962837928,1,"05:27","20:34","22:04","05:35","0.999",12.5,0.5,0,-45.8090909090909,6.70808970073101,5.80339081693496
"SG","Silwood","02/05/2023",9,0,9,2,7,0,0,0,0,0,0,0,0,90,102,0,0,0,0,345,70,0,15,15,1650,78,78,0,0,0,2,904.51693142631,0.209228037162071,0.790771962837928,1,"05:34","20:28","16:43","04:40","0.915",6.8,0.2,0,-45.8090909090909,6.70808970073101,5.80339081693496
