Date,Site,Surveyor,Sample_point,Tree_ID,Long,Lat,Accuracy,Lux_positioning,Actual_proxy,Lux_Night_1,Lux_Night_2,UV_Night_1,UV_Night_2,Comments
23/05/2023,Silwood,Poorvi     ,S412,Ornamental ?,51.40933,0.64138,4,Vertical,actual,0.03,0.05,na,na,
03/05/2023,Silwood,Poorvi     ,S413,Rowan,51.41029,0.64031,7,Horizontal,actual,0.21,0.2,1,1,
23/05/2023,Silwood,Poorvi     ,S413,Rowan,51.41029,0.64031,7,Vertical,actual,0.46,0.43,na,na,
03/05/2023,Silwood,Poorvi     ,SA,Oak,51.41265,0.16471,4,Horizontal,actual,0.01,0.01,4,2,
03/05/2023,Silwood,Poorvi     ,SA,Oak,51.41265,0.16471,4,Vertical,proxy,0.01,0.01,na,na,
03/05/2023,Silwood,Poorvi     ,SG,Sycamore,51.41217,0.63938,8,Horizontal,actual,0.01,0.01,4,1,
23/05/2023,Silwood,Poorvi     ,SG,Sycamore,51.41217,0.63938,8,Vertical,actual,0,0,na,na,
03/05/2023,Barnes,Emma ,B111,Sycamore,51.47065,0.23363,3,Horizontal,actual,0.01,0.01,1,1,
03/05/2023,Barnes,Emma ,B112,Birch,51.47092,0.2351,4,Horizontal,actual,0.01,0.01,1,1,Estimate from nearby location due to safety
03/05/2023,Barnes,Emma ,B113,Oak ,51.47017,0.23432,3,Horizontal,actual,0.01,0.02,1,3,
03/05/2023,Barnes,Emma ,B121,Lamp post,51.47117,0.23616,3,Horizontal,actual,30.7,29.6,3,3,
03/05/2023,Barnes,Emma ,B122,Cherry?,51.42166,0.23792,6,Horizontal,actual,0.01,0.01,3,3,
03/05/2023,Barnes,Emma ,B123,Ash,51.47071,0.23726,3,Horizontal,actual,0.55,0.72,3,3,
03/05/2023,Barnes,Emma ,B131,Maple,51.46965,0.2358,3,Horizontal,actual,0.08,0.05,0,1,
03/05/2023,Barnes,Emma ,B132,False Acacia,51.46959,0.23741,3,Horizontal,actual,1.33,1.11,3,1,
03/05/2023,Barnes,Emma ,B133,Oak ,51.46891,0.23726,3,Horizontal,actual,0.03,0.03,1,2,
03/05/2023,Barnes,Emma ,B211,Oak ,51.46735,0.24058,3,Horizontal,actual,0.03,0.03,1,1,
03/05/2023,Barnes,Emma ,B212,Oak ,51.46766,0.24176,3,Horizontal,actual,0.05,0.04,0,2,
03/05/2023,Barnes,Emma ,B213,Horse Chestnut,51.46699,0.24169,3,Horizontal,actual,2.36,2,3,1,
03/05/2023,Barnes,Emma ,B221,Oak ,51.46805,0.2429,3,Horizontal,actual,0.05,0.05,0,2,
03/05/2023,Barnes,Emma ,B222,False Acacia,51.4686,0.24452,3,Horizontal,actual,0.07,0.06,1,1,
03/05/2023,Barnes,Emma ,B223,False Acacia,51.46773,0.24432,3,Horizontal,actual,0.64,0.5,0,0,
03/05/2023,Barnes,Emma ,B231,Oak ,51.46624,0.24302,3,Horizontal,actual,0.02,0.02,1,1,
03/05/2023,Barnes,Emma ,B232,Sycamore,51.46671,0.24397,3,Horizontal,actual,0.01,0.01,1,1,
03/05/2023,Barnes,Emma ,B233,Oak ,51.46587,0.24394,3,Horizontal,actual,0,0,6,1,
03/05/2023,Barnes,Emma ,B311,Horse Chestnut,51.47131,0.24412,3,Horizontal,actual,0.01,0.01,3,3,
07/06/2023,Barnes,Emma ,B111,Sycamore,51.47065,0.23363,3,Horizontal,actual,0.02,0.02,na,na,
07/06/2023,Barnes,Emma ,B112,Birch,51.47092,0.2351,4,Horizontal,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B113,Oak ,51.47017,0.23432,3,Horizontal,actual,0.05,0.05,na,na,
07/06/2023,Barnes,Emma ,B121,Lamp post,51.47117,0.23616,3,Horizontal,actual,32.1,32.2,na,na,
07/06/2023,Barnes,Emma ,B122,Cherry?,51.42166,0.23792,6,Horizontal,actual,0.01,0.01,na,na,
07/06/2023,Barnes,Emma ,B123,Ash,51.47071,0.23726,3,Horizontal,actual,0.56,0.53,na,na,
07/06/2023,Barnes,Emma ,B131,Maple,51.46965,0.2358,3,Horizontal,actual,0.05,0.05,na,na,
07/06/2023,Barnes,Emma ,B132,False Acacia,51.46959,0.23741,3,Horizontal,actual,1.48,1.4,na,na,
07/06/2023,Barnes,Emma ,B133,Oak ,51.46891,0.23726,3,Horizontal,actual,0.04,0.04,na,na,
07/06/2023,Barnes,Emma ,B211,Oak ,51.46735,0.24058,3,Horizontal,actual,0.02,0.01,na,na,
07/06/2023,Barnes,Emma ,B212,Oak ,51.46766,0.24176,3,Horizontal,actual,0.01,0.01,na,na,
